iter	RMSEWithUncertainty
0	6.133292739
1	6.125180449
2	6.117785644
3	6.109544496
4	6.100394038
5	6.091995189
6	6.084129253
7	6.078636152
8	6.070919308
9	6.063035127
10	6.056460756
11	6.049202345
12	6.042225489
13	6.035467001
14	6.029828833
15	6.023095506
16	6.015476953
17	6.009516862
18	6.002213863
19	5.99578759
20	5.989453097
21	5.983866686
22	5.977730389
23	5.969443509
24	5.962600503
25	5.956436692
26	5.950697915
27	5.943806856
28	5.937197032
29	5.929459323
30	5.924204958
31	5.920000127
32	5.914364695
33	5.909261141
34	5.903085544
35	5.897093257
36	5.892936419
37	5.886622735
38	5.882632541
39	5.877365422
40	5.870009788
41	5.864492729
42	5.860478073
43	5.854402602
44	5.848085055
45	5.843567606
46	5.838945838
47	5.83284972
48	5.828463056
49	5.822426552
50	5.816129653
51	5.810290979
52	5.804287306
53	5.798886876
54	5.794658667
55	5.788971953
56	5.784506415
57	5.778655059
58	5.773245424
59	5.76816524
60	5.763156483
61	5.75863359
62	5.753446955
63	5.747889432
64	5.742594149
65	5.737459878
66	5.732691358
67	5.727684107
68	5.722885098
69	5.718556242
70	5.714505861
71	5.710200795
72	5.705411219
73	5.700977484
74	5.695472982
75	5.692207916
76	5.687602863
77	5.68285415
78	5.677959341
79	5.673375707
80	5.668254585
81	5.663330701
82	5.658975884
83	5.65429872
84	5.649255992
85	5.64472856
86	5.641373061
87	5.636651
88	5.63169038
89	5.627553119
90	5.623074954
91	5.618178676
92	5.614548786
93	5.610363628
94	5.606365724
95	5.601164562
96	5.595920578
97	5.591182201
98	5.587696562
99	5.584003967
100	5.579501531
101	5.574556212
102	5.570888546
103	5.566668647
104	5.562526547
105	5.559011356
106	5.555523432
107	5.551339839
108	5.548384749
109	5.544109821
110	5.541016766
111	5.536816924
112	5.532912485
113	5.529805535
114	5.526216081
115	5.522791672
116	5.518935312
117	5.515728082
118	5.512348946
119	5.508931391
120	5.50497507
121	5.501157377
122	5.497648379
123	5.493899195
124	5.489970723
125	5.486282568
126	5.482764693
127	5.480127127
128	5.476488705
129	5.472246553
130	5.468736546
131	5.465018193
132	5.461191207
133	5.458036103
134	5.454926939
135	5.451982509
136	5.448422598
137	5.444952052
138	5.442399936
139	5.439264685
140	5.434932692
141	5.432247381
142	5.42982856
143	5.426648289
144	5.423561999
145	5.421343909
146	5.418250323
147	5.415917519
148	5.413124759
149	5.410042144
150	5.406215583
151	5.402861134
152	5.400281129
153	5.397399937
154	5.395022252
155	5.392235056
156	5.389392694
157	5.386905519
158	5.384148417
159	5.381222969
160	5.378443702
161	5.37589994
162	5.373795195
163	5.37065796
164	5.368153068
165	5.365191171
166	5.361948654
167	5.359267585
168	5.356517808
169	5.353316084
170	5.350668021
171	5.347530563
172	5.344274841
173	5.341547696
174	5.338298629
175	5.336256884
176	5.333919137
177	5.331097857
178	5.327643397
179	5.325292419
180	5.322100351
181	5.319897665
182	5.316388349
183	5.313738449
184	5.31073959
185	5.307123967
186	5.304865976
187	5.302259359
188	5.299789371
189	5.29790929
190	5.295790625
191	5.292906367
192	5.290744638
193	5.287760937
194	5.285533448
195	5.282474749
196	5.280040902
197	5.27745776
198	5.275074266
199	5.273122445
200	5.271307117
201	5.268694455
202	5.266219771
203	5.263477795
204	5.260800162
205	5.258570023
206	5.256328961
207	5.254039775
208	5.251792422
209	5.248881978
210	5.246405031
211	5.243927572
212	5.241082775
213	5.238889361
214	5.236905042
215	5.234172526
216	5.23153148
217	5.230045987
218	5.227693539
219	5.225622136
220	5.223428313
221	5.221153266
222	5.219068894
223	5.216968504
224	5.215002122
225	5.213569683
226	5.211709847
227	5.208309512
228	5.205202094
229	5.203503746
230	5.201772007
231	5.199829871
232	5.198350787
233	5.196117667
234	5.194884246
